Joel Matip;1
Mohamed Salah;27
Daniel Sturridge;4
Jordan Henderson;1
James Milner;7
Dejan Lovren;1
Xherdan Shaqiri;6
Sadio Mane;26
Georginio Wijnaldum;5
Trent Alexander-Arnold;1
Naby Keita;3
Own goal;3
Divock Origi;7
Virgil van Dijk;6
Fabinho;1
Roberto Firmino;16
